team_a,team_b,quote_a,quote_null,quote_b,forecast_a,forecast_b,goals_a,goals_b
RU,SA,14.0,44.0,90.0,2,2,5,0
EG,UY,65.0,37.0,16.0,1,2,0,1
RU,EG,19.0,32.0,40.0,2,2,3,1
UY,SA,12.0,53.0,133.0,1,2,1,0
UY,RU,24.0,30.0,29.0,2,1,3,0
SA,EG,48.0,33.0,17.0,3,1,2,1
MA,IR,23.0,29.0,34.0,1,1,0,1
PT,ES,43.0,33.0,19.0,1,1,3,3
PT,MA,16.0,35.0,55.0,1,1,1,0
IR,ES,145.0,53.0,12.0,1,1,0,1
ES,MA,14.0,42.0,83.0,1,1,2,2
IR,PT,80.0,43.0,14.0,0,1,1,1
FR,AU,12.0,65.0,160.0,3,2,2,1
PE,DK,32.0,32.0,23.0,1,1,0,1
FR,PE,14.0,41.0,70.0,3,1,1,0
DK,AU,17.0,34.0,50.0,2,1,1,1
DK,FR,53.0,35.0,16.0,2,2,0,0
AU,PE,33.0,31.0,21.0,3,1,0,2
AR,IS,13.0,45.0,105.0,2,2,1,1
HR,NG,17.0,34.0,50.0,2,1,2,0
AR,HR,19.0,32.0,40.0,1,2,0,3
NG,IS,26.0,29.0,27.0,1,4,2,0
NG,AR,65.0,41.0,14.0,1,3,1,2
IS,HR,45.0,33.0,17.0,2,2,1,2
CR,RS,40.0,32.0,20.0,1,3,0,1
BR,CH,14.0,45.0,90.0,1,1,1,1
BR,CR,12.0,50.0,110.0,2,1,2,0
RS,CH,28.0,30.0,25.0,2,2,1,2
RS,BR,78.0,43.0,14.0,1,2,0,2
CH,CR,19.0,32.0,41.0,2,1,2,2
DE,MX,14.0,42.0,73.0,2,1,0,1
SE,KR,21.0,32.0,37.0,1,1,1,0
DE,SE,14.0,40.0,65.0,2,2,2,1
KR,MX,42.0,32.0,18.0,1,1,1,2
KR,DE,93.0,49.0,13.0,1,3,2,0
MX,SE,24.0,30.0,29.0,0,1,0,3
BE,PA,11.0,70.0,200.0,3,2,3,0
TN,GB-EN,90.0,45.0,14.0,0,1,1,2
BE,TN,13.0,47.0,90.0,3,1,5,2
GB-EN,PA,12.0,53.0,140.0,1,1,6,1
GB-EN,BE,28.0,32.0,24.0,1,2,0,1
PA,TN,33.0,30.0,22.0,2,1,1,2
PL,SN,23.0,31.0,33.0,2,1,1,2
CO,JP,17.0,35.0,53.0,1,2,1,2
JP,SN,31.0,30.0,22.0,3,2,2,2
PL,CO,28.0,30.0,24.0,1,0,0,3
JP,PL,41.0,33.0,18.0,1,2,0,1
SN,CO,38.0,31.0,19.0,1,2,0,1
FR,AR,24.0,31.0,34.0,3,1,4,3
UY,PT,28.0,29.0,28.0,0,1,2,1
ES,RU,16.0,37.0,60.0,2,1,1,1
HR,DK,18.0,32.0,50.0,1,2,1,1
BR,MX,15.0,41.0,68.0,1,0,2,0
BE,JP,14.0,47.0,90.0,3,2,3,2
SE,CH,31.0,29.0,25.0,2,1,1,0
CO,GB-EN,41.0,33.0,21.0,0,0,1,1
UY,FR,46.0,33.0,20.0,1,2,0,2
BR,BE,21.0,34.0,38.0,2,2,1,2
SE,GB-EN,48.0,34.0,19.0,1,0,0,2
RU,HR,38.0,31.0,22.0,1,2,1,1
FR,BE,26.0,33.0,32.0,3,2,1,0
HR,GB-EN,35.0,32.0,24.0,1,0,1,1
BE,GB-EN,22.0,37.0,33.0,2,1,2,0
FR,HR,20.0,33.0,49.0,2,2,4,2
